Datetime,UNIT_ID,Ctrlmode,IU_TON_Cap,OU1Ta,OU1ThexLiq,OU1Tsh,OU1TLiqPipe,OU1Pc,OU1Pe,OU1Tc,OU1Te,OU1EV1pls,OU1EV2pls,OU1HP,OU1FanStep,OU1TAccIn,OU1INVCur,OU1INVrps,OU1INV2Cur,OU1INV2rps,OU1Td,OU1Fanrps,OU1Fan2rps,OU1INVCopt,OU1INV2Copt,OU1INVCOnOffN,OU1INV2COnOffN,DefrostN,OU1PcMKS,OU1PeMKS,Tc(Rp),Te(Rp),SHdis,SHsuc,TLiq,TCondTPOut,SCLiq(Rp),ModifySC(Rp),RLI(Rp),CCDI
2020-11-08 11:00:00,730.0,19.0,60.3,19.0,27.0,15.0,-7.0,17.3,2.7,29.0,-23.0,1260.0,0.0,20.0,8.0,15.0,6.0,89.0,7.0,62.0,41.0,1360.0,1180.0,8.0,8.0,0.0,0.0,0.0,1797.8756997950002,366.104799795,28.086306441838985,-22.372092516334476,12.913694,37.372093,-7.0,28.086306441838985,35.086306,3.861448678248502,0.3046488,
2020-11-12 09:00:00,730.0,19.0,60.3,13.0,25.0,11.0,0.0,23.2,5.7,39.0,-6.0,3000.0,0.0,20.0,8.0,12.0,8.0,79.0,9.0,56.0,55.0,1360.0,1180.0,17.0,17.0,0.0,0.0,0.0,2376.468049795,660.3042997950001,39.15724672182836,-5.906966194072766,15.842753,17.906966,0.0,39.15724672182836,39.157247,1.4969942141243433,0.1310789,
2020-11-23 11:00:00,730.0,19.0,7.1,10.0,18.0,9.0,6.0,26.8,8.4,45.0,5.0,3000.0,0.0,20.0,7.0,10.0,8.0,66.0,0.0,0.0,72.0,940.0,910.0,60.0,59.0,0.0,1.0,0.0,2729.507449795,925.083849795,44.937479651873446,4.610211269363276,27.06252,5.389789,6.0,44.937479651873446,38.93748,1.1144902376468953,0.0344628,
2020-11-23 12:00:00,730.0,19.0,14.0,10.0,15.0,8.0,2.0,26.8,7.2,45.0,0.0,3000.0,0.0,20.0,7.0,10.0,8.0,34.0,11.0,25.0,74.0,1140.0,1110.0,4.0,3.0,1.0,1.0,0.0,2729.507449795,807.4040497950001,44.937479651873446,0.2617237001121566,29.06252,9.738276,2.0,44.937479651873446,42.93748,1.2289804653295182,0.0389087,
2020-11-30 13:00:00,730.0,19.0,33.6,10.0,13.0,5.0,-11.0,23.2,3.4,39.0,-18.0,3000.0,0.0,20.0,8.0,7.0,8.0,87.0,10.0,61.0,62.0,1360.0,1180.0,60.0,58.0,0.0,1.0,1.0,2376.468049795,434.751349795,39.15724672182836,-17.808774094258837,22.842753,24.808774,-11.0,39.15724672182836,50.157247,1.720232622734236,0.1195234,
2020-11-30 15:00:00,730.0,19.0,7.1,12.0,19.0,11.0,4.0,17.9,6.7,30.0,-2.0,140.0,0.0,20.0,7.0,12.0,6.0,41.0,0.0,0.0,54.0,1140.0,1110.0,44.0,35.0,3.0,4.0,0.0,1856.715599795,758.3707997950002,29.32562674788005,-1.6923850735155952,24.674373,13.692385,4.0,29.32562674788005,25.325627,1.461743772305312,0.1835187,
2020-11-30 16:00:00,730.0,19.0,14.0,9.0,16.0,6.0,-3.0,27.4,5.7,46.0,-6.0,3000.0,0.0,20.0,8.0,8.0,9.0,58.0,11.0,41.0,88.0,1360.0,1180.0,45.0,31.0,3.0,4.0,1.0,2788.347349795,660.3042997950001,45.84443855943209,-5.906966194072766,42.155561,13.906966,-3.0,45.84443855943209,48.844439,1.3256936707343567,0.0561717,
2020-11-30 17:00:00,730.0,19.0,14.0,10.0,29.0,8.0,-4.0,23.8,5.2,40.0,-8.0,700.0,0.0,20.0,8.0,8.0,7.0,36.0,9.0,27.0,70.0,1360.0,1180.0,38.0,28.0,4.0,4.0,0.0,2435.3079497950002,611.2710497950001,40.164114470573566,-8.194839855873624,29.835886,16.19484,-4.0,40.164114470573566,44.164114,1.4641276488684611,0.0867438,
2020-11-30 18:00:00,730.0,19.0,14.0,9.0,26.0,7.0,-7.0,24.4,4.7,41.0,-10.0,1140.0,0.0,20.0,8.0,8.0,7.0,45.0,10.0,33.0,73.0,1360.0,1180.0,4.0,3.0,1.0,1.0,0.0,2494.1478497949997,562.2377997950001,41.15266006868552,-10.626624660909101,31.84734,18.626625,-7.0,41.15266006868552,48.15266,1.4976260097029228,0.0700401,
2021-01-22 16:00:00,730.0,19.0,21.1,10.0,21.0,10.0,6.0,27.4,8.4,46.0,5.0,3000.0,0.0,20.0,7.0,10.0,8.0,36.0,10.0,26.0,67.0,940.0,910.0,60.0,57.0,0.0,2.0,1.0,2788.347349795,925.083849795,45.84443855943209,4.610211269363276,21.155561,5.389789,6.0,45.84443855943209,39.844439,1.1115933350144593,0.0337047,
2021-01-22 17:00:00,730.0,19.0,21.1,9.0,25.0,7.0,-4.0,26.2,5.2,44.0,-8.0,3000.0,0.0,20.0,8.0,8.0,8.0,72.0,10.0,50.0,71.0,1360.0,1180.0,19.0,7.0,0.0,0.0,0.0,2670.667549795,611.2710497950001,44.01540253572364,-8.194839855873624,26.984597,16.19484,-4.0,44.01540253572364,48.015403,1.371265201107239,0.0803452,
2021-01-22 20:00:00,730.0,19.0,14.0,9.0,18.0,9.0,6.0,28.0,8.4,47.0,5.0,1500.0,0.0,20.0,7.0,10.0,8.0,31.0,0.0,0.0,66.0,940.0,910.0,51.0,0.0,0.0,0.0,0.0,2847.1872497950003,925.083849795,46.73680772378418,4.610211269363276,19.263192,5.389789,6.0,46.73680772378418,40.736808,1.079497987698759,0.0329908,
2021-01-23 10:00:00,730.0,19.0,14.0,7.0,23.0,8.0,6.0,27.4,8.4,46.0,5.0,1840.0,0.0,20.0,7.0,7.0,8.0,49.0,0.0,0.0,64.0,940.0,910.0,29.0,0.0,0.0,0.0,0.0,2788.347349795,925.083849795,45.84443855943209,4.610211269363276,18.155561,2.389789,6.0,45.84443855943209,39.844439,1.025743722335899,0.0337047,
