Datetime,UNIT_ID,Ctrlmode,IU_TON_Cap,DefrostN,OU1Ta,OU1ThexLiq,OU1Tsh,OU1TLiqPipe,OU1Pc,OU1Pe,OU1Tc,OU1Te,OU1EV1pls,OU1EV2pls,OU1HP,OU1FanStep,OU1TAccIn,OU1INVCur,OU1INVrps,OU1INV2Cur,OU1INV2rps,OU1Td,OU1Fanrps,OU1Fan2rps,OU1INVCopt,OU1INV2Copt,OU1INVCOnOffN,OU1INV2COnOffN,OU1PcMKS,OU1PeMKS,OU1ThexdiMKS,Tc(Rp),Te(Rp),TCondTPIn,TCondTPOut,SCondTPin,SCondTPOut,TCondDi,SConddi,ACondSC_Te,ACondTP_Te,RLI(Te),SHdis,SHsuc,SCconddi(Rp),ModifySCDi(Rp),CCDI,RLILiq
2020-06-23 08:00:00,737.0,4.0,56.7,0.0,31.0,29.0,37.0,28.0,23.2,9.2,39.0,8.0,3000.0,0.0,12.0,7.0,20.0,9.0,53.0,0.0,0.0,64.0,770.0,0.0,60.0,0.0,0.0,0.0,2376.468049795,1003.5370497949999,302.15,39.15724672182836,7.2823232153630215,39.275771056543306,39.15724672182836,1.8011099726401756,1.2868624556915962,29.0,1.2268832369571783,1.6072211477031275,16.42207568853828,0.09787,24.842753,12.717677,10.157247,1.2451808001368585,,0.09787
2020-06-23 10:00:00,737.0,4.0,26.1,0.0,32.0,37.0,25.0,36.0,23.8,9.5,40.0,9.0,3000.0,140.0,12.0,1.0,19.0,9.0,43.0,0.0,0.0,65.0,350.0,0.0,60.0,0.0,0.0,0.0,2435.3079497950002,1032.956999795,310.15,40.164114470573566,8.243829250455633,40.28223298195286,40.164114470573566,1.7986180901579527,1.2926382231124427,37.0,1.2733423532951766,0.5854024976818397,16.180904466071684,0.036179,24.835886,10.756171,3.164114,0.3875636496039609,,0.036179
2020-06-23 11:00:00,737.0,4.0,38.6,0.0,32.0,35.0,20.0,34.0,23.2,9.2,39.0,8.0,3000.0,140.0,12.0,3.0,17.0,9.0,56.0,0.0,0.0,64.0,400.0,0.0,60.0,0.0,0.0,0.0,2376.468049795,1003.5370497949999,308.15,39.15724672182836,7.2823232153630215,39.275771056543306,39.15724672182836,1.8011099726401756,1.2868624556915962,35.0,1.2617892447254917,0.747088919558774,16.42207568853828,0.045493,24.842753,9.717677,4.157247,0.5808444450183783,,0.045493
2020-06-23 12:00:00,737.0,4.0,38.6,0.0,32.0,37.0,41.0,28.0,24.4,9.9,41.0,10.0,3000.0,0.0,12.0,1.0,17.0,10.0,49.0,0.0,0.0,67.0,350.0,0.0,60.0,0.0,0.0,0.0,2494.1478497949997,1072.183599795,310.15,41.15266006868552,9.494291351226025,41.27030889773448,41.15266006868552,1.796124015276936,1.2983345759982252,37.0,1.2729512673913475,0.7508900171141479,15.78848378466488,0.047559,25.84734,7.505709,4.15266,0.4537107211276987,,0.047559
2020-06-23 13:00:00,737.0,4.0,38.6,0.0,29.0,31.0,27.0,28.0,23.8,11.5,40.0,14.0,3000.0,80.0,12.0,0.0,21.0,9.0,31.0,0.0,0.0,63.0,0.0,0.0,57.0,0.0,0.0,0.0,2435.3079497950002,1229.089999795,304.15,40.164114470573566,14.176527939007542,40.28223298195286,40.164114470573566,1.7986180901579527,1.2926382231124427,31.0,1.2380688180041914,1.1680869997252024,13.179078372417118,0.088632,22.835886,6.823472,9.164114,0.820854535678116,,0.088632
2020-06-28 03:00:00,737.0,4.0,25.0,0.0,31.0,28.0,23.0,28.0,23.8,9.9,40.0,10.0,3000.0,140.0,12.0,0.0,20.0,9.0,33.0,0.0,0.0,65.0,0.0,0.0,60.0,0.0,0.0,0.0,2435.3079497950002,1072.183599795,301.15,40.164114470573566,9.494291351226025,40.28223298195286,40.164114470573566,1.7986180901579527,1.2926382231124427,28.0,1.2208770367389692,1.7644472501134176,15.548195818578431,0.113482,24.835886,10.505709,12.164114,1.327363821028162,,0.113482
2020-06-28 04:00:00,737.0,4.0,38.6,0.0,34.0,37.0,19.0,34.0,24.4,8.7,41.0,6.0,3000.0,200.0,12.0,3.0,16.0,10.0,62.0,0.0,0.0,68.0,400.0,0.0,60.0,0.0,0.0,0.0,2494.1478497949997,954.503799795,310.15,41.15266006868552,5.631561393210063,41.27030889773448,41.15266006868552,1.796124015276936,1.2983345759982252,37.0,1.2729512673913475,0.8489388837034991,17.711309964550722,0.047932,26.84734,10.368439,4.15266,0.5805756124466789,,0.047932
2020-06-28 05:00:00,737.0,4.0,38.6,0.0,34.0,32.0,19.0,30.0,26.8,8.7,45.0,6.0,3000.0,140.0,12.0,1.0,15.0,11.0,65.0,0.0,0.0,71.0,350.0,0.0,60.0,0.0,0.0,0.0,2729.507449795,954.503799795,305.15,44.937479651873446,5.631561393210063,45.05260868100146,44.937479651873446,1.786077594290562,1.320418736471685,32.0,1.2422345423220482,2.567348333910569,18.329954427954103,0.140063,26.06252,9.368439,12.93748,1.182857514874003,,0.140063
2020-06-28 06:00:00,737.0,4.0,80.0,0.0,27.0,33.0,16.0,28.0,26.2,7.4,44.0,1.0,3000.0,220.0,12.0,5.0,6.0,16.0,129.0,0.0,0.0,74.0,560.0,0.0,60.0,0.0,0.0,0.0,2670.667549795,827.0173497950001,306.15,44.01540253572364,1.0182989954336676,44.131258050645556,44.01540253572364,1.788604771756641,1.3149940255148376,33.0,1.2483324186967144,2.4991037941310585,20.391325502392014,0.122557,29.984597,4.981701,11.015403,0.6473783371785234,,0.122557
2020-06-28 07:00:00,737.0,4.0,80.0,0.0,35.0,35.0,13.0,32.0,25.6,7.7,43.0,2.0,3000.0,220.0,12.0,6.0,7.0,16.0,129.0,0.0,0.0,71.0,710.0,0.0,60.0,0.0,0.0,0.0,2611.827649795,856.4372997950001,308.15,43.07764542076404,2.128160033334666,43.1941629142479,43.07764542076404,1.791119984075567,1.3095079727485563,35.0,1.2603425833720272,1.814727102662755,19.74982213244166,0.091886,27.922355,4.87184,8.077645,0.9999999479100629,,0.091886
