Datetime,UNIT_ID,Ctrlmode,IU_TON_Cap,DefrostN,OU1Ta,OU1ThexLiq,OU1Tsh,OU1TLiqPipe,OU1Pc,OU1Pe,OU1Tc,OU1Te,OU1EV1pls,OU1EV2pls,OU1HP,OU1FanStep,OU1TAccIn,OU1INVCur,OU1INVrps,OU1INV2Cur,OU1INV2rps,OU1Td,OU1Fanrps,OU1Fan2rps,OU1INVCopt,OU1INV2Copt,OU1INVCOnOffN,OU1INV2COnOffN,OU1PcMKS,OU1PeMKS,Tc(Rp),Te(Rp),SHdis,SHsuc,TLiq,TCondTPOut,SCLiq(Rp),ModifySC(Rp),RLI(Rp),CCDI
2019-12-04 02:00:00,419.0,19.0,80.0,0.0,10.0,31.0,4.0,1.0,23.8,6.7,40.0,-2.0,3000.0,0.0,20.0,8.0,2.0,8.0,98.0,10.0,70.0,74.0,1360.0,1180.0,60.0,60.0,0.0,0.0,2435.3079497950002,758.3707997950002,40.164114470573566,-1.6923850735155952,33.835886,3.692385,1.0,40.164114470573566,39.164114,1.2983677687009951,0.0643242,
2019-12-04 03:00:00,419.0,19.0,80.0,0.0,10.0,36.0,4.0,2.0,26.8,6.0,45.0,-5.0,3000.0,0.0,20.0,8.0,1.0,10.0,122.0,11.0,97.0,84.0,1360.0,1180.0,60.0,60.0,0.0,0.0,2729.507449795,689.724249795,44.937479651873446,-4.595461408315032,39.06252,5.595461,2.0,44.937479651873446,42.93748,1.2289804653295182,0.133153,
2019-12-04 04:00:00,419.0,19.0,80.0,0.0,11.0,38.0,5.0,2.0,28.0,6.0,47.0,-5.0,3000.0,0.0,20.0,8.0,3.0,11.0,130.0,12.0,102.0,90.0,1360.0,1180.0,60.0,60.0,0.0,0.0,2847.1872497950003,689.724249795,46.73680772378418,-4.595461408315032,43.263192,7.595461,2.0,46.73680772378418,44.736808,1.2518411925815631,0.1284857,
2019-12-04 05:00:00,419.0,19.0,80.0,0.0,12.0,36.0,7.0,4.0,26.2,7.0,44.0,-1.0,2880.0,0.0,20.0,8.0,4.0,9.0,103.0,11.0,76.0,77.0,1360.0,1180.0,60.0,60.0,0.0,0.0,2670.667549795,787.790749795,44.01540253572364,-0.5088612562674939,32.984597,4.508861,4.0,44.01540253572364,40.015403,1.24987974008291,0.1012675,
2019-12-04 06:00:00,419.0,19.0,80.0,0.0,12.0,35.0,7.0,4.0,25.6,7.2,43.0,0.0,2720.0,0.0,20.0,8.0,5.0,8.0,98.0,10.0,70.0,73.0,1360.0,1180.0,60.0,60.0,0.0,0.0,2611.827649795,807.4040497950001,43.07764542076404,0.2617237001121566,29.922355,4.738276,4.0,43.07764542076404,39.077645,1.2574197456378364,0.0873104,
2019-12-04 07:00:00,419.0,19.0,80.0,0.0,12.0,34.0,7.0,4.0,24.4,7.2,41.0,0.0,2300.0,0.0,20.0,7.0,5.0,8.0,86.0,10.0,61.0,70.0,1140.0,1110.0,60.0,60.0,0.0,0.0,2494.1478497949997,807.4040497950001,41.15266006868552,0.2617237001121566,28.84734,4.738276,4.0,41.15266006868552,37.15266,1.274417494405861,0.0914207,
2019-12-04 08:00:00,419.0,19.0,80.0,0.0,11.0,36.0,6.0,3.0,25.6,6.7,43.0,-2.0,2580.0,0.0,20.0,7.0,3.0,9.0,103.0,11.0,76.0,76.0,1140.0,1110.0,55.0,55.0,0.0,0.0,2611.827649795,758.3707997950002,43.07764542076404,-1.6923850735155952,32.922355,4.692385,3.0,43.07764542076404,40.077645,1.2493948503482586,0.1048109,
2020-03-04 03:00:00,419.0,19.0,80.0,0.0,9.0,32.0,4.0,0.0,25.6,5.0,43.0,-9.0,3000.0,0.0,20.0,8.0,1.0,11.0,137.0,16.0,133.0,93.0,1360.0,1180.0,60.0,60.0,0.0,0.0,2611.827649795,591.657749795,43.07764542076404,-9.149105872811162,49.922355,10.149106,0.0,43.07764542076404,43.077645,1.2641027414925832,0.1751805,
2020-03-04 04:00:00,419.0,19.0,80.0,1.0,10.0,33.0,5.0,1.0,26.2,5.0,44.0,-9.0,1620.0,20.0,20.0,8.0,0.0,11.0,71.0,17.0,50.0,93.0,1360.0,1180.0,60.0,60.0,0.0,0.0,2670.667549795,591.657749795,44.01540253572364,-9.149105872811162,48.984597,9.149106,1.0,44.01540253572364,43.015403,1.2645860343655904,0.1909,
2020-03-04 05:00:00,419.0,19.0,80.0,0.0,11.0,33.0,5.0,1.0,25.6,5.5,43.0,-7.0,3000.0,0.0,20.0,8.0,2.0,11.0,137.0,14.0,117.0,90.0,1360.0,1180.0,60.0,60.0,0.0,0.0,2611.827649795,640.690999795,43.07764542076404,-6.80612020230825,46.922355,8.80612,1.0,43.07764542076404,42.077645,1.3117435662145855,0.1564862,
