Datetime,UNIT_ID,Ctrlmode,IU_TON_Cap,OU1Ta,OU1ThexLiq,OU1Tsh,OU1TLiqPipe,OU1Pc,OU1Pe,OU1Tc,OU1Te,OU1EV1pls,OU1EV2pls,OU1HP,OU1FanStep,OU1TAccIn,OU1INVCur,OU1INVrps,OU1Td,OU1Fanrps,OU1Fan2rps,OU1INVCopt,OU1INVCOnOffN,DefrostN,OU1PcMKS,OU1PeMKS,Tc(Rp),Te(Rp),SHdis,SHsuc,TLiq,TCondTPOut,SCLiq(Rp),ModifySC(Rp),RLI(Rp),CCDI
2020-11-20 13:00:00,760.0,19.0,7.1,15.0,0.0,12.0,32.0,23.2,6.7,39.0,-2.0,360.0,0.0,10.0,8.0,14.0,9.0,15.0,53.0,800.0,0.0,37.0,4.0,0.0,2376.468049795,758.3707997950002,39.15724672182836,-1.6923850735155952,13.842753,15.692385,32.0,39.15724672182836,7.157247,0.29627743105064824,0.8247904,
2020-11-20 15:00:00,760.0,19.0,7.1,15.0,10.0,12.0,39.0,30.0,8.2,50.0,4.0,0.0,140.0,10.0,1.0,15.0,12.0,15.0,66.0,350.0,0.0,32.0,4.0,1.0,3043.320249795,905.4705497949999,49.61218254332624,3.9156327252940173,16.387817,11.084367,39.0,49.61218254332624,10.612183,0.30660253760987377,0.7677684,
2020-11-21 18:00:00,760.0,19.0,15.1,16.0,12.0,14.0,33.0,23.8,10.3,40.0,11.0,360.0,0.0,10.0,7.0,16.0,8.0,15.0,53.0,750.0,0.0,10.0,0.0,0.0,2435.3079497950002,1111.4101997950002,40.164114470573566,10.710802812920974,12.835886,5.289197,33.0,40.164114470573566,7.164114,0.2964774069715765,0.7567637,
2020-11-23 10:00:00,760.0,19.0,15.1,12.0,6.0,9.0,26.0,20.3,8.4,34.0,5.0,460.0,0.0,10.0,8.0,11.0,7.0,15.0,44.0,800.0,0.0,57.0,1.0,0.0,2092.075199795,925.083849795,34.00562152346981,4.610211269363276,9.994378,6.389789,26.0,34.00562152346981,8.005622,0.3637989498029723,0.7276574,
2020-11-23 11:00:00,760.0,19.0,15.1,12.0,10.0,11.0,34.0,26.2,9.5,44.0,9.0,320.0,0.0,10.0,7.0,13.0,9.0,15.0,55.0,790.0,0.0,60.0,0.0,0.0,2670.667549795,1032.956999795,44.01540253572364,8.243829250455633,10.984597,4.756171,34.0,44.01540253572364,10.015403,0.31283076915320823,0.7200178,
2020-11-23 12:00:00,760.0,19.0,15.1,12.0,8.0,10.0,27.0,25.0,8.9,42.0,7.0,200.0,0.0,10.0,7.0,12.0,9.0,15.0,57.0,750.0,0.0,28.0,2.0,0.0,2552.987749795,974.1170997950001,42.123610354308255,6.299359427382285,14.87639,5.700641,27.0,42.123610354308255,15.12361,0.5020517070204712,0.5778388,
2020-11-23 14:00:00,760.0,19.0,29.3,12.0,7.0,10.0,23.0,19.7,8.7,33.0,6.0,260.0,0.0,10.0,7.0,12.0,7.0,15.0,47.0,790.0,0.0,60.0,0.0,0.0,2033.235299795,954.503799795,32.874385646879205,5.631561393210063,14.125614,6.368439,23.0,32.874385646879205,9.874386,0.47303840060443914,0.6375418,
2020-11-23 15:00:00,760.0,19.0,29.3,12.0,7.0,10.0,25.0,20.3,8.9,34.0,7.0,260.0,0.0,10.0,7.0,12.0,7.0,15.0,48.0,790.0,0.0,60.0,0.0,0.0,2092.075199795,974.1170997950001,34.00562152346981,6.299359427382285,13.994378,5.700641,25.0,34.00562152346981,9.005622,0.4092418835066835,0.6749608,
2020-11-23 16:00:00,760.0,19.0,29.3,12.0,7.0,10.0,24.0,20.3,8.9,34.0,7.0,260.0,0.0,10.0,7.0,12.0,7.0,15.0,48.0,790.0,0.0,58.0,2.0,1.0,2092.075199795,974.1170997950001,34.00562152346981,6.299359427382285,13.994378,5.700641,24.0,34.00562152346981,10.005622,0.4546848172103948,0.6388679,
2020-11-23 17:00:00,760.0,19.0,29.3,12.0,6.0,9.0,28.0,19.7,8.4,33.0,5.0,260.0,0.0,10.0,7.0,11.0,7.0,16.0,45.0,790.0,0.0,2.0,0.0,0.0,2033.235299795,925.083849795,32.874385646879205,4.610211269363276,12.125614,6.389789,28.0,32.874385646879205,4.874386,0.23351039318988237,0.8275419,
2020-11-23 19:00:00,760.0,19.0,15.1,12.0,7.0,10.0,29.0,22.7,8.7,38.0,6.0,240.0,0.0,10.0,7.0,11.0,8.0,15.0,51.0,790.0,0.0,60.0,0.0,0.0,2327.434799795,954.503799795,38.30363455847197,5.631561393210063,12.696365,5.368439,29.0,38.30363455847197,9.303635,0.35370150004625317,0.715242,
2020-11-23 20:00:00,760.0,19.0,15.1,11.0,7.0,9.0,30.0,23.2,8.7,39.0,6.0,220.0,0.0,10.0,8.0,11.0,8.0,15.0,54.0,800.0,0.0,60.0,0.0,0.0,2376.468049795,954.503799795,39.15724672182836,5.631561393210063,14.842753,5.368439,30.0,39.15724672182836,9.157247,0.3252181255669796,0.7268588,
2020-11-23 21:00:00,760.0,19.0,15.1,10.0,6.0,9.0,30.0,23.2,8.4,39.0,5.0,220.0,0.0,10.0,8.0,10.0,8.0,15.0,54.0,800.0,0.0,60.0,0.0,0.0,2376.468049795,925.083849795,39.15724672182836,4.610211269363276,14.842753,5.389789,30.0,39.15724672182836,9.157247,0.31406418745102205,0.7349339,
2020-11-23 22:00:00,760.0,19.0,15.1,9.0,5.0,8.0,29.0,23.2,8.2,39.0,4.0,220.0,0.0,10.0,8.0,9.0,8.0,15.0,53.0,800.0,0.0,60.0,0.0,0.0,2376.468049795,905.4705497949999,39.15724672182836,3.9156327252940173,13.842753,5.084367,29.0,39.15724672182836,10.157247,0.3368094937077927,0.7117826,
2020-11-23 23:00:00,760.0,19.0,15.1,9.0,5.0,8.0,29.0,23.2,8.2,39.0,4.0,220.0,0.0,10.0,8.0,9.0,8.0,15.0,52.0,800.0,0.0,19.0,0.0,0.0,2376.468049795,905.4705497949999,39.15724672182836,3.9156327252940173,12.842753,5.084367,29.0,39.15724672182836,10.157247,0.3368094937077927,0.7117826,
2020-11-24 01:00:00,760.0,19.0,14.2,9.0,7.0,8.0,33.0,22.7,8.9,38.0,7.0,260.0,0.0,10.0,7.0,9.0,8.0,15.0,53.0,790.0,0.0,60.0,0.0,0.0,2327.434799795,974.1170997950001,38.30363455847197,6.299359427382285,14.696365,2.700641,33.0,38.30363455847197,5.303635,0.18098898242186368,0.8342836,
2020-11-24 02:00:00,760.0,19.0,14.2,9.0,6.0,8.0,35.0,24.4,8.4,41.0,5.0,220.0,0.0,10.0,8.0,10.0,9.0,15.0,57.0,800.0,0.0,25.0,0.0,0.0,2494.1478497949997,925.083849795,41.15266006868552,4.610211269363276,15.84734,5.389789,35.0,41.15266006868552,6.15266,0.19135772862514314,0.8316298,
2020-11-24 09:00:00,760.0,19.0,29.3,9.0,5.0,5.0,24.0,19.7,8.2,33.0,4.0,620.0,0.0,10.0,8.0,8.0,7.0,27.0,48.0,800.0,0.0,60.0,0.0,0.0,2033.235299795,905.4705497949999,32.874385646879205,3.9156327252940173,15.125614,4.084367,24.0,32.874385646879205,8.874386,0.37171159632164336,0.6935508,
2020-11-24 11:00:00,760.0,19.0,15.1,10.0,7.0,9.0,31.0,24.4,8.7,41.0,6.0,220.0,0.0,10.0,7.0,11.0,9.0,15.0,58.0,790.0,0.0,57.0,1.0,0.0,2494.1478497949997,954.503799795,41.15266006868552,5.631561393210063,16.84734,5.368439,31.0,41.15266006868552,10.15266,0.32590025948395324,0.7141794,
2020-11-24 12:00:00,760.0,19.0,15.1,10.0,9.0,9.0,31.0,23.2,9.2,39.0,8.0,260.0,0.0,10.0,7.0,11.0,8.0,15.0,56.0,790.0,0.0,41.0,1.0,0.0,2376.468049795,1003.5370497949999,39.15724672182836,7.2823232153630215,16.842753,3.717677,31.0,39.15724672182836,8.157247,0.27976739634655345,0.7440858,
2020-11-24 13:00:00,760.0,19.0,22.2,11.0,9.0,10.0,27.0,21.5,9.2,36.0,8.0,280.0,0.0,10.0,7.0,11.0,8.0,15.0,52.0,790.0,0.0,60.0,0.0,0.0,2209.754999795,1003.5370497949999,36.19792020308063,7.2823232153630215,15.80208,3.717677,27.0,36.19792020308063,9.19792,0.36502695166387134,0.6819045,
2020-11-24 14:00:00,760.0,19.0,22.2,11.0,7.0,9.0,26.0,21.5,8.7,36.0,6.0,240.0,0.0,10.0,8.0,11.0,8.0,15.0,50.0,800.0,0.0,60.0,0.0,0.0,2209.754999795,954.503799795,36.19792020308063,5.631561393210063,13.80208,5.368439,26.0,36.19792020308063,10.19792,0.4047127666811656,0.6663678,
2020-11-24 15:00:00,760.0,19.0,22.2,11.0,7.0,10.0,27.0,21.5,8.7,36.0,6.0,240.0,0.0,10.0,8.0,11.0,8.0,15.0,49.0,800.0,0.0,60.0,0.0,0.0,2209.754999795,954.503799795,36.19792020308063,5.631561393210063,12.80208,5.368439,27.0,36.19792020308063,9.19792,0.36502695166387134,0.6990835,
2020-11-24 16:00:00,760.0,19.0,22.2,10.0,7.0,9.0,27.0,22.1,8.7,37.0,6.0,240.0,0.0,10.0,8.0,11.0,8.0,15.0,50.0,800.0,0.0,60.0,0.0,0.0,2268.5948997950004,954.503799795,37.26111536149989,5.631561393210063,12.738885,5.368439,27.0,37.26111536149989,10.261115,0.3764011436777633,0.6755846,
2020-11-24 17:00:00,760.0,19.0,22.2,11.0,7.0,10.0,27.0,22.1,8.7,37.0,6.0,240.0,0.0,10.0,8.0,11.0,8.0,15.0,50.0,800.0,0.0,23.0,1.0,0.0,2268.5948997950004,954.503799795,37.26111536149989,5.631561393210063,12.738885,5.368439,27.0,37.26111536149989,10.261115,0.3907341656570805,0.6755846,
2020-11-24 18:00:00,760.0,19.0,7.1,11.0,8.0,10.0,35.0,28.0,8.9,47.0,7.0,200.0,0.0,10.0,7.0,12.0,11.0,15.0,64.0,790.0,0.0,60.0,0.0,0.0,2847.1872497950003,974.1170997950001,46.73680772378418,6.299359427382285,17.263192,5.700641,35.0,46.73680772378418,11.736808,0.328423514789451,0.709754,
2020-11-24 19:00:00,760.0,19.0,7.1,11.0,8.0,10.0,38.0,28.0,8.9,47.0,7.0,200.0,0.0,10.0,7.0,12.0,11.0,15.0,64.0,790.0,0.0,36.0,3.0,1.0,2847.1872497950003,974.1170997950001,46.73680772378418,6.299359427382285,17.263192,5.700641,38.0,46.73680772378418,8.736808,0.24447645317198624,0.7839427,
2020-11-24 20:00:00,760.0,19.0,7.1,11.0,10.0,10.0,34.0,24.4,9.5,41.0,9.0,240.0,0.0,10.0,7.0,11.0,9.0,15.0,57.0,790.0,0.0,60.0,0.0,0.0,2494.1478497949997,1032.956999795,41.15266006868552,8.243829250455633,15.84734,2.756171,34.0,41.15266006868552,7.15266,0.23721489194342296,0.7826523,
2020-11-24 21:00:00,760.0,19.0,21.3,11.0,8.0,10.0,29.0,23.2,8.9,39.0,7.0,220.0,0.0,10.0,7.0,11.0,8.0,15.0,57.0,790.0,0.0,60.0,0.0,0.0,2376.468049795,974.1170997950001,39.15724672182836,6.299359427382285,17.842753,4.700641,29.0,39.15724672182836,10.157247,0.36073296158341334,0.6908734,
